NO.,UNICODE,UTF8
0371,0x3045,utf8:E3-81-85:ぅ
0372,0x3046,utf8:E3-81-86:う
0373,0x3047,utf8:E3-81-87:ぇ
0374,0x3048,utf8:E3-81-88:え
0375,0x3049,utf8:E3-81-89:ぉ
0376,0x304A,utf8:E3-81-8A:お
0377,0x304B,utf8:E3-81-8B:か
0378,0x304C,utf8:E3-81-8C:が
0379,0x304D,utf8:E3-81-8D:き
0380,0x304E,utf8:E3-81-8E:ぎ
0381,0x304F,utf8:E3-81-8F:く
0382,0x3050,utf8:E3-81-90:ぐ
0383,0x3051,utf8:E3-81-91:け
0384,0x3052,utf8:E3-81-92:げ
0385,0x3053,utf8:E3-81-93:こ
0386,0x3054,utf8:E3-81-94:ご
0387,0x3055,utf8:E3-81-95:さ
0388,0x3056,utf8:E3-81-96:ざ
0389,0x3057,utf8:E3-81-97:し
0390,0x3058,utf8:E3-81-98:じ
0391,0x3059,utf8:E3-81-99:す
0392,0x305A,utf8:E3-81-9A:ず
0393,0x305B,utf8:E3-81-9B:せ
0394,0x305C,utf8:E3-81-9C:ぜ
0395,0x305D,utf8:E3-81-9D:そ
0396,0x305E,utf8:E3-81-9E:ぞ
0397,0x305F,utf8:E3-81-9F:た
0398,0x3060,utf8:E3-81-A0:だ
0399,0x3061,utf8:E3-81-A1:ち
0400,0x3062,utf8:E3-81-A2:ぢ
0401,0x3063,utf8:E3-81-A3:っ
0402,0x3064,utf8:E3-81-A4:つ
0403,0x3065,utf8:E3-81-A5:づ
0404,0x3066,utf8:E3-81-A6:て
0405,0x3067,utf8:E3-81-A7:で
0406,0x3068,utf8:E3-81-A8:と
0407,0x3069,utf8:E3-81-A9:ど
0408,0x306A,utf8:E3-81-AA:な
0409,0x306B,utf8:E3-81-AB:に
0410,0x306C,utf8:E3-81-AC:ぬ
0411,0x306D,utf8:E3-81-AD:ね
0412,0x306E,utf8:E3-81-AE:の
0413,0x306F,utf8:E3-81-AF:は
0414,0x3070,utf8:E3-81-B0:ば
0415,0x3071,utf8:E3-81-B1:ぱ
0416,0x3072,utf8:E3-81-B2:ひ
0417,0x3073,utf8:E3-81-B3:び
0418,0x3074,utf8:E3-81-B4:ぴ
0419,0x3075,utf8:E3-81-B5:ふ
0420,0x3076,utf8:E3-81-B6:ぶ
0421,0x3077,utf8:E3-81-B7:ぷ
0422,0x3078,utf8:E3-81-B8:へ
0423,0x3079,utf8:E3-81-B9:べ
0424,0x307A,utf8:E3-81-BA:ぺ
0425,0x307B,utf8:E3-81-BB:ほ
0426,0x307C,utf8:E3-81-BC:ぼ
0427,0x307D,utf8:E3-81-BD:ぽ
0428,0x307E,utf8:E3-81-BE:ま
0429,0x307F,utf8:E3-81-BF:み
0430,0x3080,utf8:E3-82-80:む
0431,0x3081,utf8:E3-82-81:め
0432,0x3082,utf8:E3-82-82:も
0433,0x3083,utf8:E3-82-83:ゃ
0434,0x3084,utf8:E3-82-84:や
0435,0x3085,utf8:E3-82-85:ゅ
0436,0x3086,utf8:E3-82-86:ゆ
0437,0x3087,utf8:E3-82-87:ょ
0438,0x3088,utf8:E3-82-88:よ
0439,0x3089,utf8:E3-82-89:ら
0440,0x308A,utf8:E3-82-8A:り
0441,0x308B,utf8:E3-82-8B:る
0442,0x308C,utf8:E3-82-8C:れ
0443,0x308D,utf8:E3-82-8D:ろ
0444,0x308E,utf8:E3-82-8E:ゎ
0445,0x308F,utf8:E3-82-8F:わ
0446,0x3090,utf8:E3-82-90:ゐ
0447,0x3091,utf8:E3-82-91:ゑ
0448,0x3092,utf8:E3-82-92:を
0449,0x3093,utf8:E3-82-93:ん
0450,0x30A1,utf8:E3-82-A1:ァ
0451,0x30A2,utf8:E3-82-A2:ア
0452,0x30A3,utf8:E3-82-A3:ィ
0453,0x30A4,utf8:E3-82-A4:イ
0454,0x30A5,utf8:E3-82-A5:ゥ
0455,0x30A6,utf8:E3-82-A6:ウ
0456,0x30A7,utf8:E3-82-A7:ェ
0457,0x30A8,utf8:E3-82-A8:エ
0458,0x30A9,utf8:E3-82-A9:ォ
0459,0x30AA,utf8:E3-82-AA:オ
0460,0x30AB,utf8:E3-82-AB:カ
0461,0x30AC,utf8:E3-82-AC:ガ
0462,0x30AD,utf8:E3-82-AD:キ
0463,0x30AE,utf8:E3-82-AE:ギ
0464,0x30AF,utf8:E3-82-AF:ク
0465,0x30B0,utf8:E3-82-B0:グ
0466,0x30B1,utf8:E3-82-B1:ケ
0467,0x30B2,utf8:E3-82-B2:ゲ
0468,0x30B3,utf8:E3-82-B3:コ
0469,0x30B4,utf8:E3-82-B4:ゴ
0470,0x30B5,utf8:E3-82-B5:サ
0471,0x30B6,utf8:E3-82-B6:ザ
0472,0x30B7,utf8:E3-82-B7:シ
0473,0x30B8,utf8:E3-82-B8:ジ
0474,0x30B9,utf8:E3-82-B9:ス
0475,0x30BA,utf8:E3-82-BA:ズ
0476,0x30BB,utf8:E3-82-BB:セ
0477,0x30BC,utf8:E3-82-BC:ゼ
0478,0x30BD,utf8:E3-82-BD:ソ
0479,0x30BE,utf8:E3-82-BE:ゾ
0480,0x30BF,utf8:E3-82-BF:タ
0481,0x30C0,utf8:E3-83-80:ダ
0482,0x30C1,utf8:E3-83-81:チ
0483,0x30C2,utf8:E3-83-82:ヂ
0484,0x30C3,utf8:E3-83-83:ッ
0485,0x30C4,utf8:E3-83-84:ツ
0486,0x30C5,utf8:E3-83-85:ヅ
0487,0x30C6,utf8:E3-83-86:テ
0488,0x30C7,utf8:E3-83-87:デ
0489,0x30C8,utf8:E3-83-88:ト
0490,0x30C9,utf8:E3-83-89:ド
0491,0x30CA,utf8:E3-83-8A:ナ
0492,0x30CB,utf8:E3-83-8B:ニ
0493,0x30CC,utf8:E3-83-8C:ヌ
0494,0x30CD,utf8:E3-83-8D:ネ
0495,0x30CE,utf8:E3-83-8E:ノ
0496,0x30CF,utf8:E3-83-8F:ハ
0497,0x30D0,utf8:E3-83-90:バ
0498,0x30D1,utf8:E3-83-91:パ
0499,0x30D2,utf8:E3-83-92:ヒ
0500,0x30D3,utf8:E3-83-93:ビ
0501,0x30D4,utf8:E3-83-94:ピ
0502,0x30D5,utf8:E3-83-95:フ
0503,0x30D6,utf8:E3-83-96:ブ
0504,0x30D7,utf8:E3-83-97:プ
0505,0x30D8,utf8:E3-83-98:ヘ
0506,0x30D9,utf8:E3-83-99:ベ
0507,0x30DA,utf8:E3-83-9A:ペ
0508,0x30DB,utf8:E3-83-9B:ホ
0509,0x30DC,utf8:E3-83-9C:ボ
0510,0x30DD,utf8:E3-83-9D:ポ
0511,0x30DE,utf8:E3-83-9E:マ
0512,0x30DF,utf8:E3-83-9F:ミ
0513,0x30E0,utf8:E3-83-A0:ム
0514,0x30E1,utf8:E3-83-A1:メ
0515,0x30E2,utf8:E3-83-A2:モ
0516,0x30E3,utf8:E3-83-A3:ャ
0517,0x30E4,utf8:E3-83-A4:ヤ
0518,0x30E5,utf8:E3-83-A5:ュ
0519,0x30E6,utf8:E3-83-A6:ユ
0520,0x30E7,utf8:E3-83-A7:ョ
0521,0x30E8,utf8:E3-83-A8:ヨ
0522,0x30E9,utf8:E3-83-A9:ラ
0523,0x30EA,utf8:E3-83-AA:リ
0524,0x30EB,utf8:E3-83-AB:ル
0525,0x30EC,utf8:E3-83-AC:レ
0526,0x30ED,utf8:E3-83-AD:ロ
0527,0x30EE,utf8:E3-83-AE:ヮ
0528,0x30EF,utf8:E3-83-AF:ワ
0529,0x30F0,utf8:E3-83-B0:ヰ
0530,0x30F1,utf8:E3-83-B1:ヱ
0531,0x30F2,utf8:E3-83-B2:ヲ
0532,0x30F3,utf8:E3-83-B3:ン
0533,0x30F4,utf8:E3-83-B4:ヴ
0534,0x30F5,utf8:E3-83-B5:ヵ
0535,0x30F6,utf8:E3-83-B6:ヶ
0536,0x30FB,utf8:E3-83-BB:・
0537,0x3105,utf8:E3-84-85:ㄅ
0538,0x3106,utf8:E3-84-86:ㄆ
0539,0x3107,utf8:E3-84-87:ㄇ
0540,0x3108,utf8:E3-84-88:ㄈ
0541,0x3109,utf8:E3-84-89:ㄉ
0542,0x310A,utf8:E3-84-8A:ㄊ
0543,0x310B,utf8:E3-84-8B:ㄋ
0544,0x310C,utf8:E3-84-8C:ㄌ
0545,0x310D,utf8:E3-84-8D:ㄍ
0546,0x310E,utf8:E3-84-8E:ㄎ
0547,0x310F,utf8:E3-84-8F:ㄏ
0548,0x3110,utf8:E3-84-90:ㄐ
0549,0x3111,utf8:E3-84-91:ㄑ
0550,0x3112,utf8:E3-84-92:ㄒ
0551,0x3113,utf8:E3-84-93:ㄓ
0552,0x3114,utf8:E3-84-94:ㄔ
0553,0x3115,utf8:E3-84-95:ㄕ
0554,0x3116,utf8:E3-84-96:ㄖ
0555,0x3117,utf8:E3-84-97:ㄗ
0556,0x3118,utf8:E3-84-98:ㄘ
0557,0x3119,utf8:E3-84-99:ㄙ
0558,0x311A,utf8:E3-84-9A:ㄚ
0559,0x311B,utf8:E3-84-9B:ㄛ
0560,0x311C,utf8:E3-84-9C:ㄜ
0561,0x311D,utf8:E3-84-9D:ㄝ
0562,0x311E,utf8:E3-84-9E:ㄞ
0563,0x311F,utf8:E3-84-9F:ㄟ
0564,0x3120,utf8:E3-84-A0:ㄠ
0565,0x3121,utf8:E3-84-A1:ㄡ
0566,0x3122,utf8:E3-84-A2:ㄢ
0567,0x3123,utf8:E3-84-A3:ㄣ
0568,0x3124,utf8:E3-84-A4:ㄤ
0569,0x3125,utf8:E3-84-A5:ㄥ
0570,0x3126,utf8:E3-84-A6:ㄦ
0571,0x3127,utf8:E3-84-A7:ㄧ
0572,0x3128,utf8:E3-84-A8:ㄨ
0573,0x3129,utf8:E3-84-A9:ㄩ
0574,0x3220,utf8:E3-88-A0:㈠
0575,0x3221,utf8:E3-88-A1:㈡
0576,0x3222,utf8:E3-88-A2:㈢
0577,0x3223,utf8:E3-88-A3:㈣
0578,0x3224,utf8:E3-88-A4:㈤
0579,0x3225,utf8:E3-88-A5:㈥
0580,0x3226,utf8:E3-88-A6:㈦
0581,0x3227,utf8:E3-88-A7:㈧
0582,0x3228,utf8:E3-88-A8:㈨
0583,0x3229,utf8:E3-88-A9:㈩
0584,0x4E00,utf8:E4-B8-80:一
0585,0x4E01,utf8:E4-B8-81:丁
0586,0x4E03,utf8:E4-B8-83:七
